feature,importance
payment_delay_days_max,0.20732592042285106
amount_order_sum,0.18987218693651997
payment_frequency,0.13034311401879647
payment_delay_days_min,0.11348331869076794
payment_delay_days_median,0.10316748675362024
payment_delay_days_std,0.06899201157468048
payment_id_count,0.04670084502381582
payment_delay_days_mean,0.04597148622353407
recency_days,0.03314389131347075
amount_sum,0.030414781392312785
order_id_nunique,0.014712386698888667
amount_std,0.009362842414181945
amount_order_median,0.006509491373635472
amount_mean,1.3310020091473465e-07
customer_lifetime_days,7.12918754151452e-08
amount_order_mean,2.9626274537725825e-08
amount_median,3.1445734021427323e-09
