customer_id,amount_sum,payment_delay_days_mean,payment_id_count,recency_days,anomaly_score_iso_forest,anomaly_consensus
58,12255,-341.0,10,3,-0.6623253175279463,2
86,10512,-117.6923076923077,13,13,-0.605408046904644,2
48,4010,-43.0,3,337,-0.5877350537163668,3
63,11434,-89.18181818181819,11,51,-0.5639785847968082,3
17,4531,140.28571428571428,7,9,-0.5238302689518597,3
30,1700,-395.0,1,567,-0.5235465102128648,2
50,631,210.0,1,146,-0.5170338067304772,2
23,3647,-339.3333333333333,3,230,-0.4777835856651109,2
